bd-5a             => bd-9_6   =>0.002178649=>1.0000000=>459.000000
t-2547_1          => t-2065_3 =>0.002178649=>1.0000000=>275.400000
f-458a            => f-454a   =>0.002178649=>1.0000000=>275.400000
t-1558a           => t-1558_3 =>0.002178649=>1.0000000=>229.500000
hp-03_1           => t-1558_3 =>0.002178649=>1.0000000=>229.500000
7572             => 7320    =>0.003631082=>0.8333333=>191.250000
f-36a             => f-36b1   =>0.003631082=>0.8333333=>143.437500
55h              => 7165a   =>0.002178649=>0.7500000=>103.275000
7878_1           => 7876    =>0.002178649=>0.6000000=> 82.620000
7627             => 7193    =>0.005809731=>0.8888889=> 76.500000
bd-15_2           => bd-15    =>0.004357298=>0.8571429=> 73.767857
t-2766,t-2768     => t-2767   =>0.004357298=>1.0000000=> 72.473684
7880,7883       => 7882    =>0.002178649=>0.6000000=> 68.850000
7345             => 7348    =>0.002178649=>1.0000000=> 59.869565
t-2766            => t-2767   =>0.012345679=>0.8095238=> 58.669173
t-2768            => t-2767   =>0.005809731=>0.8000000=> 57.978947
t-1395            => t-2766   =>0.002904866=>0.8000000=> 52.457143
7882             => 7880    =>0.006535948=>0.7500000=> 49.178571
7883             => 7880    =>0.003631082=>0.7142857=> 46.836735
7345             => 7344    =>0.002178649=>1.0000000=> 45.900000
t-2768            => t-2766   =>0.004357298=>0.6000000=> 39.342857
7394_5           => 7886_3  =>0.004357298=>0.6000000=> 37.554545
7905             => 7525_3  =>0.006535948=>0.6923077=> 30.751861
t-2a              => t-1344_1 =>0.002904866=>0.8000000=> 28.989474
t-1344_1,t-1369   => t-1347_1 =>0.003631082=>0.7142857=> 28.102041
7399             => 7373    =>0.005083515=>0.6363636=> 25.036364
7525_1           => 7144    =>0.002178649=>1.0000000=> 21.515625
7610_11          => 7144    =>0.004357298=>0.7500000=> 16.136719
7061_7070        => 7065    =>0.002178649=>1.0000000=> 11.769231
7064_1,7066     => 7065    =>0.002178649=>1.0000000=> 11.769231
7131             => 7065    =>0.002904866=>0.8000000=>  9.415385
7058,7771a      => 7329    =>0.002178649=>0.7500000=>  7.483696
7066,7069       => 7065    =>0.003631082=>0.6250000=>  7.355769
7070_7381,7381a => 7064_1  =>0.002904866=>0.8000000=>  7.247368
7130,7771a      => 7329    =>0.003631082=>0.7142857=>  7.127329
7059_7070,7130  => 7329    =>0.002904866=>0.6666667=>  6.652174
7771a            => 7329    =>0.020334060=>0.6363636=>  6.349802
7130             => 7329    =>0.020334060=>0.6086957=>  6.073724
7070_7381,7770  => 7064_1  =>0.002178649=>0.6000000=>  5.435526
7064_7068,7065  => 7064_1  =>0.002178649=>0.6000000=>  5.435526
